Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
Predictive Analytics Expert,BrightAI Solutions,"Alicante, España",Salario no disponible,Al menos 2 años,"Por obra o servicio, jornada completa",Máster en Data Science,"['powerbi', 'tableau', 'statistics', 'data mining']","En BrightAI Solutions, estamos buscando un/a Predictive Analytics Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Alicante, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BrightAI Solutions!",A2265800,Data Scientist,
Data Engineer,Infinite Data Labs,"Madrid, España",60.000€ - 70.000€ Bruto/año,Al menos 3 años,"Por obra o servicio, jornada completa",Ciclo Formativo Grado Superior en Informática,"['hadoop', 'spark', 'kafka', 'etl processes']","En Infinite Data Labs, estamos buscando un/a Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",0570C493,Data Scientist,
Data Scientist Junior,Infinite Data Labs,"Barcelona, España",30.000€ - 40.000€ Bruto/año,Más de 5 años,"Indefinido, jornada completa",Grado universitario en Estadística,"['python', 'sql', 'machine learning', 'data analysis']","En Infinite Data Labs, estamos buscando un/a Data Scientist Junior para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Barcelona, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Python, SQL, Machine Learning, Data Analysis, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Más de 5 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Python, SQL, Machine Learning, Data Analysis.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",46D58320,Data Scientist,
Senior Data Scientist,Innovative Analytics,"Sevilla, España",45.000€ - 55.000€ Bruto/año,Al menos 3 años,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"['python', 'sql', 'machine learning', 'data analysis']","En Innovative Analytics, estamos buscando un/a Senior Data Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Sevilla, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Python, SQL, Machine Learning, Data Analysis, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Python, SQL, Machine Learning, Data Analysis.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",CE183B20,Data Scientist,
AI Solutions Architect,BrightAI Solutions,"Santander, España",30.000€ - 40.000€ Bruto/año,Al menos 1 año,"Indefinido, jornada intensiva",Ciclo Formativo Grado Superior en Informática,"['hadoop', 'spark', 'kafka', 'etl']","En BrightAI Solutions, estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Santander, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Indefinido, jornada intensiva.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BrightAI Solutions!",36FC3F8C,Data Scientist,
AI Research Scientist,Visionary Insights,"Granada, España",30.000€ - 40.000€ Bruto/año,Al menos 4 años,"Indefinido, jornada completa",Grado universitario en Estadística,"['powerbi', 'tableau', 'statistics', 'data mining']","En Visionary Insights, estamos buscando un/a AI Research Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 4 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",9B551DFE,Data Scientist,
Senior Data Scientist,Infinite Data Labs,"Palma de Mallorca, España",60.000€ - 70.000€ Bruto/año,Al menos 3 años,"Temporal, media jornada",Grado universitario en Estadística,"['tensorflow', 'keras', 'pytorch', 'nlp']","En Infinite Data Labs, estamos buscando un/a Senior Data Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Palma de Mallorca, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",1851DA11,Data Scientist,
Data Visualization Engineer,Innovative Analytics,"Santander, España",60.000€ - 70.000€ Bruto/año,Al menos 1 año,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"['hadoop', 'spark', 'kafka', 'etl']","En Innovative Analytics, estamos buscando un/a Data Visualization Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Santander, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",0011AECA,Data Scientist,
AI Solutions Architect,Innovative Analytics,"Zaragoza, España",30.000€ - 40.000€ Bruto/año,Al menos 4 años,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"['cloud computing', 'aws', 'azure', 'google cloud']","En Innovative Analytics, estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Zaragoza, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Cloud Computing, AWS, Azure, Google Cloud, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 4 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Cloud Computing, AWS, Azure, Google Cloud.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",27A9C87E,Data Scientist,
AI Research Scientist,Visionary Insights,"Málaga, España",60.000€ - 70.000€ Bruto/año,Al menos 2 años,"Indefinido, jornada intensiva",Ciclo Formativo Grado Superior en Informática,"['python', 'sql', 'machine learning', 'data analysis']","En Visionary Insights, estamos buscando un/a AI Research Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Málaga, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Python, SQL, Machine Learning, Data Analysis, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Python, SQL, Machine Learning, Data Analysis.

Ofrecemos:
- Contrato: Indefinido, jornada intensiva.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",E3815F99,Data Scientist,
