,Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original
10,Predictive Analytics Expert,BrightAI Solutions,"Alicante, España",Salario no disponible,Al menos 2 años,"Por obra o servicio, jornada completa",Máster en Data Science,"Power BI, Tableau, Statistics, Data Mining","En BrightAI Solutions, estamos buscando un/a Predictive Analytics Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Alicante, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BrightAI Solutions!",A2265800,Data Scientist
11,Data Engineer,Infinite Data Labs,"Madrid, España",60.000€ - 70.000€ Bruto/año,Al menos 3 años,"Por obra o servicio, jornada completa",Ciclo Formativo Grado Superior en Informática,"Hadoop, Spark, Kafka, ETL Processes","En Infinite Data Labs, estamos buscando un/a Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",0570C493,Data Scientist
12,Data Scientist Junior,Infinite Data Labs,"Barcelona, España",30.000€ - 40.000€ Bruto/año,Más de 5 años,"Indefinido, jornada completa",Grado universitario en Estadística,"Python, SQL, Machine Learning, Data Analysis","En Infinite Data Labs, estamos buscando un/a Data Scientist Junior para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Barcelona, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Python, SQL, Machine Learning, Data Analysis, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Más de 5 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Python, SQL, Machine Learning, Data Analysis.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",46D58320,Data Scientist
13,Senior Data Scientist,Innovative Analytics,"Sevilla, España",45.000€ - 55.000€ Bruto/año,Al menos 3 años,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"Python, SQL, Machine Learning, Data Analysis","En Innovative Analytics, estamos buscando un/a Senior Data Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Sevilla, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Python, SQL, Machine Learning, Data Analysis, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Python, SQL, Machine Learning, Data Analysis.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",CE183B20,Data Scientist
14,AI Solutions Architect,BrightAI Solutions,"Santander, España",30.000€ - 40.000€ Bruto/año,Al menos 1 año,"Indefinido, jornada intensiva",Ciclo Formativo Grado Superior en Informática,"Hadoop, Spark, Kafka, ETL Processes","En BrightAI Solutions, estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Santander, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Indefinido, jornada intensiva.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BrightAI Solutions!",36FC3F8C,Data Scientist
15,AI Research Scientist,Visionary Insights,"Granada, España",30.000€ - 40.000€ Bruto/año,Al menos 4 años,"Indefinido, jornada completa",Grado universitario en Estadística,"Power BI, Tableau, Statistics, Data Mining","En Visionary Insights, estamos buscando un/a AI Research Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 4 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",9B551DFE,Data Scientist
16,Senior Data Scientist,Infinite Data Labs,"Palma de Mallorca, España",60.000€ - 70.000€ Bruto/año,Al menos 3 años,"Temporal, media jornada",Grado universitario en Estadística,"TensorFlow, Keras, PyTorch, Natural Language Processing","En Infinite Data Labs, estamos buscando un/a Senior Data Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Palma de Mallorca, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",1851DA11,Data Scientist
17,Data Visualization Engineer,Innovative Analytics,"Santander, España",60.000€ - 70.000€ Bruto/año,Al menos 1 año,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"Hadoop, Spark, Kafka, ETL Processes","En Innovative Analytics, estamos buscando un/a Data Visualization Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Santander, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",0011AECA,Data Scientist
18,AI Solutions Architect,Innovative Analytics,"Zaragoza, España",30.000€ - 40.000€ Bruto/año,Al menos 4 años,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"Cloud Computing, AWS, Azure, Google Cloud","En Innovative Analytics, estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Zaragoza, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Cloud Computing, AWS, Azure, Google Cloud, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 4 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Cloud Computing, AWS, Azure, Google Cloud.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",27A9C87E,Data Scientist
19,AI Research Scientist,Visionary Insights,"Málaga, España",60.000€ - 70.000€ Bruto/año,Al menos 2 años,"Indefinido, jornada intensiva",Ciclo Formativo Grado Superior en Informática,"Python, SQL, Machine Learning, Data Analysis","En Visionary Insights, estamos buscando un/a AI Research Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Málaga, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Python, SQL, Machine Learning, Data Analysis, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Python, SQL, Machine Learning, Data Analysis.

Ofrecemos:
- Contrato: Indefinido, jornada intensiva.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",E3815F99,Data Scientist
