,Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original
75,Senior Data Analyst,Pipeline Analytics,"Sevilla, España",35.000€ - 50.000€ brutos anuales,Sin experiencia,"Proyecto, freelance",Máster en Análisis de Datos o Business Intelligence,"Excel, Power BI, Trabajo en equipo, Visualización","En Pipeline Analytics, nos encontramos en la búsqueda de un/a Senior Data Analyst para unirte a nuestro equipo ubicado en Sevilla, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Excel, Power BI, Trabajo en equipo, Visualización para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Excel, Power BI, Trabajo en equipo, Visualización. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos Sin experiencia de experiencia profesional, junto con una formación académica mínima de Máster en Análisis de Datos o Business Intelligence. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Proyecto, freelance, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00226,Data Analyst
76,SQL Data Analyst,DataFlow Corp,"Córdoba, España",50.000€ - 70.000€ brutos anuales,3-5 años,"Temporal, media jornada","Grado en Estadística, Matemáticas, Informática o similar","SQL, Python, Excel, Tableau","En DataFlow Corp, nos encontramos en la búsqueda de un/a SQL Data Analyst para unirte a nuestro equipo ubicado en Córdoba, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en SQL, Python, Excel, Tableau para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en SQL, Python, Excel, Tableau. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 3-5 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 50.000€ - 70.000€ brutos anuales y Temporal, media jornada, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00227,Data Analyst
77,Reporting Specialist,Digital Insights Group,"Sevilla, España",50.000€ - 70.000€ brutos anuales,Al menos 5 años,"Indefinido, jornada completa",Máster en Análisis de Datos o Business Intelligence,"Power BI, R, Análisis crítico, Trabajo en equipo","En Digital Insights Group, nos encontramos en la búsqueda de un/a Reporting Specialist para unirte a nuestro equipo ubicado en Sevilla, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Power BI, R, Análisis crítico, Trabajo en equipo para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Power BI, R, Análisis crítico, Trabajo en equipo. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos Al menos 5 años de experiencia profesional, junto con una formación académica mínima de Máster en Análisis de Datos o Business Intelligence. Ofrecemos un atractivo paquete salarial en el rango de 50.000€ - 70.000€ brutos anuales y Indefinido, jornada completa, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00228,Data Analyst
78,Reporting Specialist,Visionary Data,"Córdoba, España",35.000€ - 50.000€ brutos anuales,3-5 años,"Indefinido, jornada completa",Máster en Análisis de Datos o Business Intelligence,"SQL, Python, Excel, Tableau","En Visionary Data, nos encontramos en la búsqueda de un/a Reporting Specialist para unirte a nuestro equipo ubicado en Córdoba, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en SQL, Python, Excel, Tableau para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en SQL, Python, Excel, Tableau. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 3-5 años de experiencia profesional, junto con una formación académica mínima de Máster en Análisis de Datos o Business Intelligence. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Indefinido, jornada completa, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00229,Data Analyst
79,Reporting Specialist,Metric Masters,"Málaga, España",28.000€ - 35.000€ brutos anuales,1-2 años,"Temporal, media jornada","Grado en Estadística, Matemáticas, Informática o similar","Power BI, R, Análisis crítico, Trabajo en equipo","En Metric Masters, nos encontramos en la búsqueda de un/a Reporting Specialist para unirte a nuestro equipo ubicado en Málaga, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Power BI, R, Análisis crítico, Trabajo en equipo para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Power BI, R, Análisis crítico, Trabajo en equipo. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 1-2 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 28.000€ - 35.000€ brutos anuales y Temporal, media jornada, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00230,Data Analyst
80,Junior BI Developer,Innovate Analytics,"Zaragoza, España",50.000€ - 70.000€ brutos anuales,1-2 años,"Temporal, media jornada","Grado en Estadística, Matemáticas, Informática o similar","Tableau, SQL, Análisis de datos, Machine Learning","En Innovate Analytics, nos encontramos en la búsqueda de un/a Junior BI Developer para unirte a nuestro equipo ubicado en Zaragoza, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Tableau, SQL, Análisis de datos, Machine Learning para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Tableau, SQL, Análisis de datos, Machine Learning. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 1-2 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 50.000€ - 70.000€ brutos anuales y Temporal, media jornada, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00231,Data Analyst
81,Business Intelligence Analyst,Cloud BI Solutions,"Valencia, España",50.000€ - 70.000€ brutos anuales,3-5 años,"Indefinido, jornada completa","Grado en Estadística, Matemáticas, Informática o similar","Tableau, SQL, Análisis de datos, Machine Learning","En Cloud BI Solutions, nos encontramos en la búsqueda de un/a Business Intelligence Analyst para unirte a nuestro equipo ubicado en Valencia, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Tableau, SQL, Análisis de datos, Machine Learning para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Tableau, SQL, Análisis de datos, Machine Learning. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 3-5 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 50.000€ - 70.000€ brutos anuales y Indefinido, jornada completa, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00232,Data Analyst
82,Senior Data Analyst,Digital Insights Group,"Madrid, España",50.000€ - 70.000€ brutos anuales,1-2 años,Contrato de prácticas,"Grado en Estadística, Matemáticas, Informática o similar","Excel, Power BI, Trabajo en equipo, Visualización","En Digital Insights Group, nos encontramos en la búsqueda de un/a Senior Data Analyst para unirte a nuestro equipo ubicado en Madrid, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Excel, Power BI, Trabajo en equipo, Visualización para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Excel, Power BI, Trabajo en equipo, Visualización. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 1-2 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 50.000€ - 70.000€ brutos anuales y Contrato de prácticas, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00233,Data Analyst
83,Junior BI Developer,Insightful Minds,"Córdoba, España",35.000€ - 50.000€ brutos anuales,Sin experiencia,"Indefinido, jornada completa","Grado en Estadística, Matemáticas, Informática o similar","SQL, Python, Excel, Tableau","En Insightful Minds, nos encontramos en la búsqueda de un/a Junior BI Developer para unirte a nuestro equipo ubicado en Córdoba, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en SQL, Python, Excel, Tableau para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en SQL, Python, Excel, Tableau. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos Sin experiencia de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Indefinido, jornada completa, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00234,Data Analyst
84,Data Analyst Junior,Metric Masters,"Córdoba, España",35.000€ - 50.000€ brutos anuales,1-2 años,"Temporal, media jornada","Grado en Estadística, Matemáticas, Informática o similar","Python, SQL, Comunicación, BI","En Metric Masters, nos encontramos en la búsqueda de un/a Data Analyst Junior para unirte a nuestro equipo ubicado en Córdoba, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Python, SQL, Comunicación, BI para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Python, SQL, Comunicación, BI. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 1-2 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Temporal, media jornada, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00235,Data Analyst
85,Data Visualization Expert,Pipeline Analytics,"Córdoba, España",35.000€ - 50.000€ brutos anuales,1-2 años,"Temporal, media jornada",Máster en Análisis de Datos o Business Intelligence,"Tableau, SQL, Análisis de datos, Machine Learning","En Pipeline Analytics, nos encontramos en la búsqueda de un/a Data Visualization Expert para unirte a nuestro equipo ubicado en Córdoba, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Tableau, SQL, Análisis de datos, Machine Learning para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Tableau, SQL, Análisis de datos, Machine Learning. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 1-2 años de experiencia profesional, junto con una formación académica mínima de Máster en Análisis de Datos o Business Intelligence. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Temporal, media jornada, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00236,Data Analyst
86,Data Visualization Expert,Digital Insights Group,"Sevilla, España",35.000€ - 50.000€ brutos anuales,Sin experiencia,"Temporal, media jornada","Grado en Estadística, Matemáticas, Informática o similar","SQL, Python, Excel, Tableau","En Digital Insights Group, nos encontramos en la búsqueda de un/a Data Visualization Expert para unirte a nuestro equipo ubicado en Sevilla, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en SQL, Python, Excel, Tableau para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en SQL, Python, Excel, Tableau. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos Sin experiencia de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Temporal, media jornada, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00237,Data Analyst
87,Power BI Specialist,Metric Masters,"Valencia, España",35.000€ - 50.000€ brutos anuales,Al menos 5 años,Contrato de prácticas,"Grado en Estadística, Matemáticas, Informática o similar","Power BI, R, Análisis crítico, Trabajo en equipo","En Metric Masters, nos encontramos en la búsqueda de un/a Power BI Specialist para unirte a nuestro equipo ubicado en Valencia, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Power BI, R, Análisis crítico, Trabajo en equipo para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Power BI, R, Análisis crítico, Trabajo en equipo. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos Al menos 5 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Contrato de prácticas, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00238,Data Analyst
88,Senior Data Analyst,Innovate Analytics,"Sevilla, España",35.000€ - 50.000€ brutos anuales,3-5 años,Contrato de prácticas,Máster en Análisis de Datos o Business Intelligence,"SQL, Python, Excel, Tableau","En Innovate Analytics, nos encontramos en la búsqueda de un/a Senior Data Analyst para unirte a nuestro equipo ubicado en Sevilla, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en SQL, Python, Excel, Tableau para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en SQL, Python, Excel, Tableau. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 3-5 años de experiencia profesional, junto con una formación académica mínima de Máster en Análisis de Datos o Business Intelligence. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Contrato de prácticas, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00239,Data Analyst
89,Power BI Specialist,Visionary Data,"Zaragoza, España",35.000€ - 50.000€ brutos anuales,3-5 años,Contrato de prácticas,"Grado en Estadística, Matemáticas, Informática o similar","Power BI, R, Análisis crítico, Trabajo en equipo","En Visionary Data, nos encontramos en la búsqueda de un/a Power BI Specialist para unirte a nuestro equipo ubicado en Zaragoza, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Power BI, R, Análisis crítico, Trabajo en equipo para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Power BI, R, Análisis crítico, Trabajo en equipo. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 3-5 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de 35.000€ - 50.000€ brutos anuales y Contrato de prácticas, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00240,Data Analyst
90,Data Analyst Junior,Innovate Analytics,"Granada, España",Salario no disponible,3-5 años,"Proyecto, freelance","Grado en Estadística, Matemáticas, Informática o similar","Tableau, SQL, Análisis de datos, Machine Learning","En Innovate Analytics, nos encontramos en la búsqueda de un/a Data Analyst Junior para unirte a nuestro equipo ubicado en Granada, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en Tableau, SQL, Análisis de datos, Machine Learning para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en Tableau, SQL, Análisis de datos, Machine Learning. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos 3-5 años de experiencia profesional, junto con una formación académica mínima de Grado en Estadística, Matemáticas, Informática o similar. Ofrecemos un atractivo paquete salarial en el rango de Salario no disponible y Proyecto, freelance, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00241,Data Analyst
91,Data Visualization Expert,Digital Insights Group,"Sevilla, España",28.000€ - 35.000€ brutos anuales,Sin experiencia,"Temporal, media jornada",Máster en Análisis de Datos o Business Intelligence,"SQL, Python, Excel, Tableau","En Digital Insights Group, nos encontramos en la búsqueda de un/a Data Visualization Expert para unirte a nuestro equipo ubicado en Sevilla, España. Este puesto ofrece la oportunidad de trabajar en proyectos innovadores, con impacto directo en la estrategia y la toma de decisiones de nuestra empresa. Como parte de tu trabajo, utilizarás tus habilidades en SQL, Python, Excel, Tableau para analizar datos complejos, identificar patrones y proporcionar insights clave para el negocio. Estamos especialmente interesados en profesionales con experiencia en SQL, Python, Excel, Tableau. Estas habilidades te permitirán abordar desafíos técnicos y colaborar con diferentes equipos para optimizar procesos y garantizar la calidad de los resultados. Para este puesto, buscamos candidatos con al menos Sin experiencia de experiencia profesional, junto con una formación académica mínima de Máster en Análisis de Datos o Business Intelligence. Ofrecemos un atractivo paquete salarial en el rango de 28.000€ - 35.000€ brutos anuales y Temporal, media jornada, que asegura tanto estabilidad como flexibilidad para nuestros empleados. En nuestra empresa, promovemos un entorno inclusivo que valora la diversidad, fomenta el aprendizaje continuo y apoya el crecimiento profesional de cada miembro del equipo. Somos una organización dinámica que busca aprovechar al máximo el potencial de los datos para impulsar nuestra estrategia empresarial. Si buscas un rol desafiante que combine análisis de datos, colaboración interdisciplinar y oportunidades de desarrollo, ¡te animamos a postularte! En {row['Empresa']}, valoramos tu talento y dedicación, y estamos deseando conocerte.",DA00242,Data Analyst
